Characteristic value was written successfully
Notification handle = 0x0011 value: 9d 1a e9 03 70 00 6f ff 23 00 46 00 95 ff 80 02 97 fe 14 03 
Notification handle = 0x0011 value: a4 1a 64 04 27 00 54 ff 48 00 aa ff 0b 00 83 02 7b fe e4 02 
Notification handle = 0x0011 value: aa 1a 21 03 05 00 b8 ff 23 00 9c ff be ff 79 02 9c fe de 02 
Notification handle = 0x0011 value: b0 1a aa 03 0a 00 9a ff b6 ff cb 00 f7 00 65 02 87 fe be 02 
Notification handle = 0x0011 value: b6 1a 1d 04 1e 00 80 ff 90 ff b1 00 03 01 62 02 73 fe 99 02 
Notification handle = 0x0011 value: bd 1a e0 03 e0 ff 90 ff a5 ff 0b 00 4f 00 53 02 6a fe 88 02 
Notification handle = 0x0011 value: c3 1a b1 03 e4 ff 7c ff f5 ff 36 00 71 00 53 02 63 fe 81 02 
Notification handle = 0x0011 value: c9 1a a4 03 ea ff 8d ff 10 00 87 00 05 00 4f 02 51 fe 6a 02 
Notification handle = 0x0011 value: cf 1a fb 03 f2 ff a6 ff e9 ff bd 00 48 00 5e 02 22 fe 5a 02 
Notification handle = 0x0011 value: d6 1a 52 04 12 00 9b ff 3d 00 10 00 4a 00 62 02 15 fe 4f 02 
Notification handle = 0x0011 value: dc 1a 42 04 f7 ff 92 ff e1 00 b4 fe cd ff 80 02 16 fe 6c 02 
Notification handle = 0x0011 value: e2 1a 27 04 fd ff 84 ff a3 01 00 fe 32 00 b0 02 60 fe a9 02 
Notification handle = 0x0011 value: e8 1a 7c 04 33 00 69 ff 00 01 d1 fe ea 00 ef 02 cf fe c9 02 
Notification handle = 0x0011 value: ef 1a 48 05 76 00 32 ff a3 00 fb fe d9 01 18 03 8d ff a9 02 
Notification handle = 0x0011 value: f5 1a 1b 05 2c 00 15 ff e3 00 90 fe 80 02 e3 02 2b 00 60 02 
Notification handle = 0x0011 value: fb 1a aa 04 0c 00 1d ff e4 00 81 fe 42 04 80 02 a1 00 f7 01 
Notification handle = 0x0011 value: 01 1b 11 04 cb ff 1b ff 10 01 75 fe 63 05 4c 02 d3 00 c5 01 
Notification handle = 0x0011 value: 08 1b 6f 03 70 ff 21 ff 13 01 72 fe f7 05 4f 02 09 01 ac 01 
Notification handle = 0x0011 value: 0e 1b a2 02 db fe 24 ff 65 01 e5 fd 82 05 70 02 42 01 a9 01 
Notification handle = 0x0011 value: 14 1b b9 01 d2 fe 17 ff 2e 03 28 fc d6 02 8b 02 82 01 9b 01 
Notification handle = 0x0011 value: 1a 1b 0b 01 26 fe 5e ff be 04 dd fc 85 00 ac 02 a7 01 88 01 
Notification handle = 0x0011 value: 21 1b 0c 02 03 fd 7d ff e6 03 3b fe 21 02 da 02 c5 01 6b 01 
Notification handle = 0x0011 value: 27 1b a2 01 06 fd 88 ff a4 02 82 fe 6f 02 ef 02 df 01 47 01 
Notification handle = 0x0011 value: 2d 1b a7 01 de fc 80 ff cf 02 dd fe e1 02 0f 03 09 02 31 01 
Notification handle = 0x0011 value: 33 1b 23 01 af fc 80 ff bd 00 70 01 55 05 1f 03 2e 02 14 01 
Notification handle = 0x0011 value: 3a 1b dd 02 2b fd 36 ff d7 01 56 01 3d 08 37 03 7c 02 04 01 
Notification handle = 0x0011 value: 40 1b 94 fe 77 f9 b0 01 56 00 21 fd c2 02 3f 03 ca 02 f9 00 
Notification handle = 0x0011 value: 46 1b 6b fd 3c fa 6e 00 ed fc 20 01 0b 06 21 03 0e 03 13 01 
Notification handle = 0x0011 value: 4c 1b 38 ff b1 fd 62 fe 7b fe b8 00 b8 00 0d 03 38 03 32 01 
Notification handle = 0x0011 value: 53 1b 18 fe 5c fc da ff 48 ff 60 00 8c fc 01 03 1d 03 49 01 
Notification handle = 0x0011 value: 59 1b 01 ff 03 fc 74 00 6c fe 40 02 c1 fb 01 03 e8 02 4f 01 
Notification handle = 0x0011 value: 5f 1b fc ff ae fc 0d 00 b0 fd 2d 01 09 f9 00 03 8d 02 62 01 
Notification handle = 0x0011 value: 65 1b b7 ff 0e fd 4b 00 c3 fb 64 01 a0 f7 d7 02 30 02 97 01 
Notification handle = 0x0011 value: 6c 1b f0 00 51 fe c3 ff 10 fb 9c 01 d8 f8 98 02 cb 01 c2 01 
Notification handle = 0x0011 value: 72 1b 31 02 5f ff 26 ff 68 fa ba 01 b7 f7 40 02 82 01 f5 01 
Notification handle = 0x0011 value: 78 1b 3d 05 9a 01 c0 fd cd fb 45 02 10 fb 14 02 3c 01 2a 02 
Notification handle = 0x0011 value: 7e 1b 1f 07 e6 02 a1 fc c9 fd fb 04 fa 02 31 02 0d 01 69 02 
Notification handle = 0x0011 value: 85 1b f2 05 18 00 96 fd b4 ff b3 fe 7c fa 5b 02 e5 00 a2 02 
