Time 1XX 1YY 2XX 2YY 1X2Y 1Y2X 
-9.050000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
-9.000000, 385.184967, 385.184967, 696.251953, 696.251953, 659.838867, 406.441315
-8.950000, 2165.275146, 2165.275146, 4168.982910, 4168.982910, 3803.286865, 2375.722412
-8.900000, 7355.424805, 7355.424805, 14964.312500, 14964.312500, 13132.710938, 8394.509766
-8.850000, 18901.570312, 18901.570312, 40171.707031, 40171.707031, 33743.800781, 22519.156250
-8.800000, 40110.523438, 40110.523438, 88945.539062, 88945.539062, 71079.125000, 50155.656250
-8.750000, 73599.953125, 73599.953125, 170838.093750, 170838.093750, 128880.140625, 97275.218750
-8.700000, 119807.656250, 119807.656250, 293447.937500, 293447.937500, 206911.265625, 168952.093750
-8.650000, 175846.937500, 175846.937500, 460450.812500, 460450.812500, 299661.562500, 267873.062500
-8.600000, 234942.656250, 234942.656250, 670486.250000, 670486.250000, 396412.562500, 393037.218750
-8.550000, 286952.312500, 286952.312500, 917339.875000, 917339.875000, 482867.843750, 539233.375000
-8.500000, 319831.625000, 319831.625000, 1191082.375000, 1191082.375000, 543657.250000, 697365.500000
-8.450000, 321955.718750, 321955.718750, 1480431.875000, 1480431.875000, 565645.375000, 855801.187500
-8.400000, 284324.062500, 284324.062500, 1774731.750000, 1774731.750000, 540150.375000, 1002036.812500
-8.350000, 202449.125000, 202449.125000, 2065751.375000, 2065751.375000, 464273.937500, 1124614.500000
-8.300000, 77020.742188, 77020.742188, 2348455.250000, 2348455.250000, 340586.093750, 1214417.250000
-8.250000, -86549.703125, -86549.703125, 2620761.250000, 2620761.250000, 175493.093750, 1265282.750000
-8.200000, -279645.625000, -279645.625000, 2882309.500000, 2882309.500000, -23319.515625, 1273741.125000
-8.150000, -492199.250000, -492199.250000, 3132890.000000, 3132890.000000, -249370.828125, 1238420.250000
-8.100000, -714437.812500, -714437.812500, 3371245.000000, 3371245.000000, -498893.468750, 1159156.250000
-8.050000, -937871.812500, -937871.812500, 3594301.500000, 3594301.500000, -771341.937500, 1036445.875000
-8.000000, -1155720.875000, -1155720.875000, 3797478.750000, 3797478.750000, -1068432.625000, 871088.625000
-7.950000, -1362560.000000, -1362560.000000, 3975715.750000, 3975715.750000, -1392400.750000, 664330.312500
-7.900000, -1553555.625000, -1553555.625000, 4125437.250000, 4125437.250000, -1743581.000000, 418329.625000
-7.850000, -1723688.000000, -1723688.000000, 4246026.000000, 4246026.000000, -2118989.750000, 136701.890625
-7.800000, -1867060.250000, -1867060.250000, 4341200.000000, 4341200.000000, -2511459.500000, -174882.171875
