Sample Time, Accel_x, Accel_y, Accel_z, Gyro_x, Gyro_y, Gyro_z, Magneto_x, Magneto_y, Magneto_z
0.000000, 4.503346, 0.497811, -2.392259, -402.000000, -108.000000, -690.000000, -318.000000, 299.000000
0.050000, 20.683968, 2.716100, -11.041278, -454.000000, -158.000000, -579.000000, -348.000000, 295.000000
0.100000, 59.939354, 8.727652, -32.499439, -364.000000, 23.000000, -593.000000, -373.000000, 293.000000
0.150000, 132.146667, 20.954554, -72.294312, -379.000000, -144.000000, -439.000000, -400.000000, 292.000000
0.200000, 242.036041, 41.465874, -133.841797, -297.000000, 7.000000, -403.000000, -421.000000, 290.000000
0.250000, 384.696533, 70.994537, -214.597229, -278.000000, -12.000000, -324.000000, -435.000000, 287.000000
0.300000, 542.946533, 108.298935, -305.791565, -168.000000, 14.000000, -231.000000, -456.000000, 292.000000
0.350000, 692.505493, 150.059418, -393.756042, -88.000000, 56.000000, -119.000000, -465.000000, 290.000000
0.400000, 808.380066, 191.786285, -464.282349, 14.000000, -101.000000, -37.000000, -477.000000, 283.000000
0.450000, 873.145691, 228.860809, -506.508362, 46.000000, 118.000000, 49.000000, -466.000000, 284.000000
0.500000, 882.048340, 257.574585, -516.244507, 95.000000, -36.000000, 249.000000, -474.000000, 286.000000
0.550000, 844.207397, 275.960205, -497.172729, 215.000000, -2.000000, 324.000000, -454.000000, 280.000000
0.600000, 778.925964, 283.583862, -459.087433, 261.000000, 23.000000, 430.000000, -447.000000, 283.000000
0.650000, 709.776245, 281.368958, -415.173065, 330.000000, -72.000000, 564.000000, -415.000000, 289.000000
0.700000, 656.575439, 270.755646, -377.597473, 408.000000, 25.000000, 626.000000, -382.000000, 286.000000
0.750000, 630.736816, 253.182449, -354.605042, 428.000000, -30.000000, 688.000000, -357.000000, 296.000000
0.800000, 632.208740, 229.844391, -348.405731, 424.000000, 13.000000, 735.000000, -319.000000, 301.000000
0.850000, 651.584229, 201.385986, -355.322754, 473.000000, 85.000000, 702.000000, -286.000000, 296.000000
0.900000, 674.324097, 168.274384, -367.847839, 428.000000, -2.000000, 732.000000, -258.000000, 304.000000
0.950000, 685.549072, 130.626526, -377.225281, 375.000000, 76.000000, 683.000000, -235.000000, 319.000000
1.000000, 675.353760, 88.577637, -376.559814, 302.000000, 115.000000, 550.000000, -222.000000, 325.000000
1.050000, 642.208374, 42.613041, -362.711304, 214.000000, -46.000000, 389.000000, -204.000000, 328.000000
1.100000, 592.690308, -6.363922, -337.123810, 113.000000, -154.000000, 234.000000, -198.000000, 335.000000
1.150000, 538.458252, -56.528198, -304.846252, -47.000000, 203.000000, 49.000000, -189.000000, 331.000000
1.200000, 492.076416, -105.440559, -272.790131, -85.000000, -10.000000, -112.000000, -202.000000, 341.000000
1.250000, 462.672119, -150.059647, -247.410706, -200.000000, -37.000000, -294.000000, -204.000000, 323.000000
1.300000, 453.710938, -187.108154, -233.052155, -298.000000, 4.000000, -506.000000, -217.000000, 317.000000
1.350000, 462.338562, -213.378555, -230.833054, -376.000000, -15.000000, -610.000000, -247.000000, 310.000000
1.400000, 482.004181, -225.835968, -239.058823, -433.000000, -158.000000, -672.000000, -271.000000, 298.000000
1.450000, 505.512665, -222.181610, -254.246552, -464.000000, -30.000000, -714.000000, -301.000000, 302.000000
1.500000, 527.221436, -201.090851, -272.360107, -462.000000, -144.000000, -721.000000, -327.000000, 295.000000
1.550000, 544.447205, -162.805328, -290.290802, -478.000000, -102.000000, -681.000000, -361.000000, 296.000000
1.600000, 557.484009, -109.499100, -306.179504, -445.000000, -25.000000, -632.000000, -390.000000, 290.000000
1.650000, 568.377075, -45.079819, -319.942657, -385.000000, -175.000000, -515.000000, -423.000000, 289.000000
1.700000, 579.527893, 24.989502, -332.349548, -327.000000, -116.000000, -450.000000, -444.000000, 292.000000
1.750000, 592.837708, 95.037727, -344.638306, -231.000000, -56.000000, -406.000000, -469.000000, 293.000000
1.800000, 607.813843, 159.746521, -357.483276, -168.000000, 16.000000, -301.000000, -487.000000, 302.000000
1.850000, 622.816589, 215.557510, -370.872559, -74.000000, -34.000000, -154.000000, -492.000000, 304.000000
1.900000, 634.678711, 260.608704, -383.778198, -37.000000, -35.000000, -99.000000, -492.000000, 296.000000
1.950000, 640.777405, 294.923401, -394.752075, 77.000000, -14.000000, 14.000000, -499.000000, 296.000000
2.000000, 639.857483, 319.706116, -402.320801, 167.000000, -20.000000, 127.000000, -495.000000, 302.000000
2.050000, 632.281067, 336.425293, -405.604797, 209.000000, 34.000000, 266.000000, -486.000000, 296.000000
2.100000, 620.239868, 346.070251, -404.583588, 270.000000, 41.000000, 350.000000, -463.000000, 293.000000
2.150000, 606.659424, 348.753845, -400.044830, 345.000000, 35.000000, 448.000000, -450.000000, 290.000000
2.200000, 594.860229, 344.000916, -393.577972, 366.000000, 8.000000, 555.000000, -414.000000, 292.000000
2.250000, 587.470337, 331.061249, -386.765686, 401.000000, 26.000000, 639.000000, -385.000000, 292.000000
2.300000, 585.910339, 309.384583, -380.945923, 415.000000, -46.000000, 679.000000, -357.000000, 292.000000
2.350000, 590.020752, 279.097107, -376.564880, 447.000000, 5.000000, 649.000000, -336.000000, 296.000000
2.400000, 598.322510, 241.034576, -373.465027, 429.000000, -24.000000, 666.000000, -300.000000, 307.000000
2.450000, 607.502075, 196.583054, -370.634918, 422.000000, 49.000000, 625.000000, -277.000000, 313.000000
2.500000, 614.418457, 147.399139, -366.949249, 358.000000, -28.000000, 583.000000, -255.000000, 323.000000
