Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.550000,781.000000,333.000000,-568.000000,582.000000,-63.000000,1115.000000,30.000000,449.000000,315.000000
0.600000,748.000000,219.000000,-554.000000,613.000000,-30.000000,1066.000000,75.000000,447.000000,305.000000
0.650000,739.000000,150.000000,-519.000000,609.000000,35.000000,947.000000,111.000000,467.000000,300.000000
0.700000,535.000000,27.000000,-483.000000,541.000000,-39.000000,835.000000,159.000000,456.000000,284.000000
0.750000,586.000000,-62.000000,-480.000000,424.000000,78.000000,576.000000,177.000000,467.000000,278.000000
0.800000,622.000000,-148.000000,-411.000000,130.000000,-216.000000,361.000000,190.000000,479.000000,278.000000
0.850000,554.000000,-91.000000,-464.000000,17.000000,-166.000000,-21.000000,195.000000,476.000000,278.000000
0.900000,587.000000,-25.000000,-482.000000,-276.000000,-81.000000,-302.000000,177.000000,471.000000,282.000000
0.950000,438.000000,-138.000000,-457.000000,-415.000000,-138.000000,-548.000000,172.000000,477.000000,287.000000
1.000000,709.000000,89.000000,-587.000000,-598.000000,-151.000000,-691.000000,135.000000,473.000000,300.000000
1.050000,672.000000,70.000000,-536.000000,-660.000000,-233.000000,-688.000000,105.000000,491.000000,320.000000
1.100000,740.000000,269.000000,-688.000000,-725.000000,-64.000000,-826.000000,69.000000,477.000000,315.000000
1.150000,697.000000,221.000000,-551.000000,-711.000000,46.000000,-893.000000,22.000000,480.000000,330.000000
1.200000,665.000000,488.000000,-658.000000,-708.000000,93.000000,-876.000000,-22.000000,480.000000,326.000000
1.250000,943.000000,616.000000,-731.000000,-718.000000,0.000000,-840.000000,-61.000000,483.000000,335.000000
1.300000,732.000000,581.000000,-602.000000,-567.000000,57.000000,-777.000000,-108.000000,485.000000,335.000000
1.350000,886.000000,619.000000,-587.000000,-448.000000,-67.000000,-670.000000,-142.000000,492.000000,332.000000
1.400000,590.000000,623.000000,-592.000000,-347.000000,91.000000,-625.000000,-169.000000,503.000000,324.000000
1.450000,704.000000,606.000000,-548.000000,-240.000000,7.000000,-506.000000,-187.000000,507.000000,329.000000
1.500000,640.000000,669.000000,-529.000000,-165.000000,39.000000,-414.000000,-213.000000,525.000000,326.000000
1.550000,542.000000,709.000000,-543.000000,-77.000000,-26.000000,-270.000000,-216.000000,521.000000,327.000000
1.600000,573.000000,715.000000,-508.000000,5.000000,11.000000,-80.000000,-213.000000,528.000000,336.000000
1.650000,651.000000,698.000000,-543.000000,91.000000,13.000000,56.000000,-216.000000,521.000000,327.000000
1.700000,602.000000,654.000000,-528.000000,186.000000,46.000000,219.000000,-207.000000,510.000000,323.000000
1.750000,702.000000,682.000000,-586.000000,312.000000,18.000000,442.000000,-193.000000,512.000000,326.000000
