Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
7.450000,461.000000,-578.000000,-339.000000,940.000000,-30.000000,1172.000000,247.000000,388.000000,197.000000
7.500000,322.000000,-644.000000,-281.000000,905.000000,65.000000,970.000000,247.000000,404.000000,170.000000
7.550000,282.000000,-698.000000,-246.000000,844.000000,-61.000000,861.000000,246.000000,409.000000,152.000000
7.600000,-35.000000,-799.000000,-139.000000,675.000000,333.000000,653.000000,250.000000,407.000000,113.000000
7.650000,86.000000,-960.000000,-37.000000,629.000000,66.000000,584.000000,243.000000,409.000000,90.000000
7.700000,-122.000000,-1028.000000,-9.000000,578.000000,-48.000000,494.000000,241.000000,413.000000,71.000000
7.750000,-370.000000,-1079.000000,120.000000,93.000000,-317.000000,114.000000,247.000000,422.000000,32.000000
7.800000,-42.000000,-982.000000,52.000000,-126.000000,-477.000000,-177.000000,259.000000,444.000000,18.000000
7.850000,-139.000000,-914.000000,76.000000,-312.000000,-549.000000,-334.000000,283.000000,462.000000,6.000000
7.900000,62.000000,-833.000000,-7.000000,-540.000000,-620.000000,-537.000000,285.000000,486.000000,26.000000
7.950000,23.000000,-770.000000,-62.000000,-705.000000,-445.000000,-723.000000,300.000000,494.000000,44.000000
8.000000,235.000000,-705.000000,-193.000000,-961.000000,-241.000000,-1003.000000,303.000000,486.000000,72.000000
8.050000,402.000000,-690.000000,-288.000000,-1113.000000,-357.000000,-1002.000000,297.000000,470.000000,98.000000
8.100000,277.000000,-559.000000,-427.000000,-1221.000000,-227.000000,-957.000000,289.000000,459.000000,146.000000
8.150000,483.000000,-527.000000,-493.000000,-1247.000000,77.000000,-996.000000,276.000000,435.000000,185.000000
8.200000,550.000000,-485.000000,-573.000000,-1194.000000,198.000000,-1070.000000,250.000000,413.000000,224.000000
8.250000,531.000000,-297.000000,-692.000000,-1252.000000,164.000000,-1032.000000,205.000000,383.000000,257.000000
8.300000,612.000000,-267.000000,-650.000000,-1171.000000,215.000000,-1107.000000,175.000000,355.000000,278.000000
8.350000,797.000000,-107.000000,-777.000000,-1199.000000,140.000000,-1013.000000,127.000000,337.000000,297.000000
8.400000,716.000000,-24.000000,-760.000000,-1061.000000,43.000000,-984.000000,75.000000,323.000000,324.000000
8.450000,845.000000,161.000000,-811.000000,-1027.000000,-56.000000,-914.000000,27.000000,317.000000,341.000000
8.500000,692.000000,262.000000,-801.000000,-975.000000,91.000000,-889.000000,-25.000000,320.000000,368.000000
8.550000,926.000000,317.000000,-790.000000,-822.000000,-27.000000,-823.000000,-76.000000,313.000000,381.000000
8.600000,826.000000,436.000000,-799.000000,-749.000000,-49.000000,-632.000000,-127.000000,326.000000,380.000000
8.650000,789.000000,404.000000,-736.000000,-568.000000,-48.000000,-495.000000,-156.000000,331.000000,383.000000
8.700000,652.000000,427.000000,-726.000000,-420.000000,-11.000000,-410.000000,-187.000000,335.000000,392.000000
8.750000,794.000000,393.000000,-710.000000,-271.000000,-97.000000,-259.000000,-199.000000,349.000000,395.000000
8.800000,742.000000,434.000000,-774.000000,-156.000000,-94.000000,-76.000000,-211.000000,347.000000,392.000000
8.850000,708.000000,379.000000,-771.000000,7.000000,-91.000000,73.000000,-214.000000,353.000000,386.000000
8.900000,766.000000,353.000000,-760.000000,147.000000,-161.000000,251.000000,-214.000000,346.000000,392.000000
8.950000,769.000000,371.000000,-784.000000,342.000000,-60.000000,331.000000,-201.000000,352.000000,393.000000
9.000000,673.000000,381.000000,-790.000000,480.000000,-35.000000,525.000000,-177.000000,344.000000,384.000000
9.050000,748.000000,361.000000,-778.000000,538.000000,-80.000000,674.000000,-145.000000,343.000000,392.000000
9.100000,721.000000,336.000000,-779.000000,674.000000,-58.000000,701.000000,-109.000000,337.000000,380.000000
9.150000,794.000000,267.000000,-780.000000,692.000000,-123.000000,816.000000,-67.000000,328.000000,387.000000
9.200000,798.000000,250.000000,-824.000000,803.000000,-83.000000,819.000000,-31.000000,329.000000,383.000000
9.250000,742.000000,80.000000,-749.000000,835.000000,-75.000000,910.000000,7.000000,335.000000,378.000000
9.300000,774.000000,3.000000,-745.000000,920.000000,-22.000000,952.000000,51.000000,328.000000,357.000000
9.350000,632.000000,-96.000000,-744.000000,958.000000,9.000000,998.000000,93.000000,314.000000,345.000000
9.400000,705.000000,-164.000000,-657.000000,998.000000,64.000000,1004.000000,126.000000,335.000000,323.000000
9.450000,619.000000,-287.000000,-683.000000,1036.000000,0.000000,1118.000000,156.000000,326.000000,294.000000
9.500000,656.000000,-380.000000,-563.000000,1151.000000,-1.000000,1099.000000,184.000000,338.000000,273.000000
9.550000,551.000000,-474.000000,-569.000000,1211.000000,73.000000,1131.000000,214.000000,349.000000,242.000000
9.600000,470.000000,-555.000000,-500.000000,1184.000000,83.000000,1115.000000,238.000000,344.000000,207.000000
9.650000,369.000000,-592.000000,-343.000000,1131.000000,-109.000000,1188.000000,247.000000,371.000000,173.000000
9.700000,292.000000,-668.000000,-316.000000,980.000000,-4.000000,1070.000000,249.000000,392.000000,140.000000
9.750000,100.000000,-692.000000,-195.000000,766.000000,74.000000,922.000000,240.000000,419.000000,107.000000
9.800000,85.000000,-761.000000,-89.000000,666.000000,-127.000000,737.000000,241.000000,429.000000,83.000000
9.850000,-82.000000,-881.000000,-31.000000,593.000000,-226.000000,534.000000,246.000000,435.000000,51.000000
