Sample Time, Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Magneto_x,Magneto_y,Magneto_z
0.550000,497.000000,441.000000,-1152.000000,839.000000,170.000000,310.000000,-148.000000,642.000000,384.000000
0.600000,409.000000,477.000000,-1167.000000,1153.000000,294.000000,446.000000,-99.000000,629.000000,383.000000
0.650000,727.000000,480.000000,-906.000000,1458.000000,231.000000,511.000000,-31.000000,611.000000,380.000000
0.700000,404.000000,493.000000,-1084.000000,1555.000000,228.000000,781.000000,40.000000,602.000000,363.000000
0.750000,462.000000,394.000000,-1016.000000,1792.000000,366.000000,720.000000,100.000000,591.000000,353.000000
0.800000,446.000000,230.000000,-902.000000,1969.000000,420.000000,708.000000,171.000000,584.000000,330.000000
0.850000,532.000000,192.000000,-838.000000,2144.000000,346.000000,910.000000,237.000000,582.000000,296.000000
0.900000,412.000000,-59.000000,-721.000000,2291.000000,459.000000,899.000000,295.000000,593.000000,246.000000
0.950000,423.000000,-125.000000,-585.000000,2062.000000,200.000000,1134.000000,330.000000,612.000000,203.000000
1.000000,-28.000000,-432.000000,-106.000000,1716.000000,-669.000000,1084.000000,352.000000,651.000000,146.000000
1.050000,361.000000,-529.000000,-197.000000,1233.000000,-10.000000,861.000000,352.000000,690.000000,113.000000
1.100000,-361.000000,-837.000000,119.000000,986.000000,-841.000000,570.000000,349.000000,707.000000,68.000000
1.150000,-183.000000,-1020.000000,-12.000000,674.000000,-375.000000,499.000000,330.000000,723.000000,38.000000
1.200000,-268.000000,-1098.000000,136.000000,70.000000,-435.000000,114.000000,324.000000,723.000000,23.000000
1.250000,-113.000000,-918.000000,20.000000,-430.000000,-495.000000,-288.000000,328.000000,714.000000,9.000000
1.300000,-126.000000,-769.000000,-25.000000,-873.000000,-535.000000,-562.000000,333.000000,677.000000,24.000000
1.350000,152.000000,-569.000000,-229.000000,-1330.000000,-471.000000,-686.000000,360.000000,659.000000,44.000000
